City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,klyuchi,52.2667,79.1667,24.91,43,19,9.11,RU,1746853890
117,yaren,-0.5472,166.916,27.79,75,0,1.45,NR,1746853891
118,hazard,37.2495,-83.1932,10.3,75,100,0.96,US,1746853892
119,santa cruz,-17.8,-63.1667,21.7,94,100,5.14,BO,1746853893
120,saint marys,30.7305,-81.5465,22.79,85,40,0.89,US,1746853894
121,neelankarai,12.9455,80.2575,35.05,65,40,4.12,IN,1746853897
122,harper,4.375,-7.7169,26.06,86,100,1.54,LR,1746853898
123,eirunepe,-6.6603,-69.8736,22.04,99,100,0.39,BR,1746853899
124,laguna,38.421,-121.4238,24.15,35,0,2.57,US,1746853900
125,kavaratti,10.5669,72.642,29.55,69,83,4.13,IN,1746853901
126,remire-montjoly,4.9167,-52.2667,24.02,100,0,0.51,GF,1746853902
127,shiyan,32.6475,110.7781,24.32,18,100,4.99,CN,1746853903
128,papatowai,-46.5619,169.4708,11.45,90,99,5.84,NZ,1746853906
129,maun,-19.9833,23.4167,13.63,40,0,2.26,BW,1746853907
130,vodnyy,63.5046,53.4095,0.19,75,55,2.29,RU,1746853908
131,page,36.9147,-111.4558,23.95,16,0,0.89,US,1746853647
132,buurhakaba,2.8026,44.0781,25.96,77,99,5.48,SO,1746853910
133,andong,36.5656,128.725,11.68,91,100,6.52,KR,1746853911
134,olonkinbyen,70.9221,-8.7187,0.56,95,75,13.45,SJ,1746853912
135,rongelap,11.1635,166.8941,27.51,76,77,5.91,MH,1746853913
136,nouadhibou,20.931,-17.0347,18.99,94,68,3.6,MR,1746853914
137,karratha,-20.7377,116.8463,32.05,28,0,7.17,AU,1746853916
138,udachny,66.4167,112.4,1.82,88,96,2.36,RU,1746853917
139,brigantine,39.4101,-74.3646,11.12,89,0,4.12,US,1746853894
140,tezu,27.9167,96.1667,35.46,33,41,2.3,IN,1746853919
141,vilyuysk,63.7553,121.6247,7.7,72,100,3.37,RU,1746853920
142,pangai,-19.8,-174.35,25.51,75,85,11.06,TO,1746853921
143,richards bay,-28.783,32.0377,19.07,80,0,6.87,ZA,1746853922
144,parabel',58.6978,81.4825,10.15,62,100,3.8,RU,1746853923
145,monroeville,40.4212,-79.7881,7.45,83,0,1.62,US,1746853924
146,polyarnyy,69.1989,33.4478,-0.48,77,86,3.95,RU,1746853925
147,altai,46.3722,96.2583,16.62,15,6,5.51,MN,1746853927
148,inarajan village,13.2736,144.7484,32.54,71,54,6.08,GU,1746853928
149,lebu,-37.6167,-73.65,11.54,91,4,1.82,CL,1746853929
150,rio grande,-32.035,-52.0986,14.78,90,0,4.55,BR,1746853930
151,along,28.1667,94.7667,31.73,41,14,0.75,IN,1746853931
152,manggar,-2.8833,108.2667,29.8,70,90,4.06,ID,1746853932
153,taoudenni,22.6783,-3.9836,30.52,22,21,7.2,ML,1746853933
154,okhotsk,59.3833,143.3,2.33,88,100,3.22,RU,1746853934
155,saint-pierre,-21.3393,55.4781,27.82,69,75,3.09,RE,1746853935
156,christchurch,-43.5333,172.6333,13.51,72,2,4.63,NZ,1746853669
157,hilo,19.7297,-155.09,24.02,77,40,2.06,US,1746853937
158,chartres,48.4167,1.5,8.98,73,4,0.89,FR,1746853939
159,zhangye,38.9342,100.4517,22.92,6,1,2.36,CN,1746853850
160,leninskoye,41.7589,69.3864,24.81,31,5,2.51,KZ,1746853942
161,gadzhiyevo,69.2551,33.3362,-0.51,80,87,3.74,RU,1746853943
162,arkalyk,50.2486,66.9114,20.11,55,53,8.85,KZ,1746853944
163,pasighat,28.0667,95.3333,32.88,47,17,2.79,IN,1746853945
164,badiyah,22.45,58.8,31.08,31,0,1.65,OM,1746853946
165,la sarre,48.8002,-79.1996,6.25,60,2,2.83,CA,1746853947
166,al qusiyah,27.4402,30.8184,27.79,23,0,3.25,EG,1746853949
167,trincomalee,8.5711,81.2335,30.89,66,98,4.73,LK,1746853950
168,lesosibirsk,58.2358,92.4828,18.23,44,66,0.68,RU,1746853951
169,guerrero negro,27.9769,-114.0611,16.64,89,6,5.32,MX,1746853952
170,chalus,36.655,51.4204,22.7,68,20,1.03,IR,1746853953
171,hermanus,-34.4187,19.2345,17.11,80,57,12.79,ZA,1746853954
172,benito juarez,19.385,-99.165,17.22,73,75,3.09,MX,1746853955
173,parsons,37.3403,-95.2611,13.93,78,15,4.03,US,1746853956
174,hovd,48.0056,91.6419,25.44,10,31,1.11,MN,1746853957
175,berezovyy,51.6667,135.7,14.16,57,89,2.67,RU,1746853959
176,meadow lake,34.8014,-106.5436,16.71,42,54,4.21,US,1746853960
177,avarua,-21.2078,-159.775,23.03,68,75,2.06,CK,1746853961
178,tiksi,71.6872,128.8694,-2.2,86,100,5.33,RU,1746853962
179,indi,17.1667,75.9667,32.78,32,5,1.94,IN,1746853963
180,homer,59.6425,-151.5483,10.94,50,0,4.12,US,1746853964
181,coquimbo,-29.9533,-71.3436,14.99,66,0,3.6,CL,1746853965
182,constantia,44.1833,28.65,9.38,80,100,5.52,RO,1746853967
183,ocean shores,46.9737,-124.1563,11.36,85,0,1.34,US,1746853969
184,poronaysk,49.2167,143.1167,5.79,89,100,4.0,RU,1746853970
185,letterkenny,54.95,-7.7333,6.91,93,74,1.22,IE,1746853971
186,bondo,3.8146,23.6866,22.74,71,74,1.76,CD,1746853972
187,progreso,21.2833,-89.6667,25.27,90,84,1.58,MX,1746853973
188,vila franca do campo,37.7167,-25.4333,14.23,83,55,3.43,PT,1746853974
189,presque isle,46.6811,-68.0159,9.45,68,100,2.57,US,1746853975
190,rauna,57.3322,25.6067,4.72,84,90,2.23,LV,1746853976
191,dampit,-8.2116,112.7493,31.89,84,97,2.89,ID,1746853977
192,thief river falls,48.1191,-96.1812,10.96,37,0,4.63,US,1746853978
193,tadine,-21.55,167.8833,24.86,82,50,6.76,NC,1746853979
194,waldheim,51.0667,13.0167,10.49,82,84,2.73,DE,1746853981
195,bargaal,11.2864,51.0773,30.38,54,59,2.1,SO,1746853982
196,changping,40.2186,116.2197,23.64,14,34,3.65,CN,1746853983
197,umm kaddadah,13.6017,26.6876,26.61,7,8,3.67,SD,1746853984
198,dwarka,22.2394,68.9678,30.09,65,0,1.85,IN,1746853985
199,port nelson,23.6333,-74.8333,24.85,73,0,5.71,BS,1746853986
200,hawaiian paradise park,19.5933,-154.9731,23.9,75,40,2.06,US,1746853987
201,jamestown,42.097,-79.2353,6.8,70,0,2.57,US,1746853989
202,lazaro cardenas,17.9583,-102.2,25.57,76,15,1.93,MX,1746853990
203,manakara,-22.1333,48.0167,23.48,91,84,1.38,MG,1746853991
204,touros,-5.1989,-35.4608,24.16,93,99,3.47,BR,1746853992
205,gorontalo,0.5412,123.0595,24.96,98,100,1.76,ID,1746853993
206,san antonio de pale,-1.4014,5.6325,27.24,79,93,4.1,GQ,1746853996
207,shizunai-furukawacho,42.3339,142.3669,9.57,96,100,11.52,JP,1746853998
208,armacao de buzios,-22.7469,-41.8817,23.61,84,3,5.58,BR,1746853999
209,luanshya,-13.1367,28.4166,15.31,88,38,1.68,ZM,1746854000
210,bubaque,11.2833,-15.8333,24.52,74,43,3.6,GW,1746854001
211,inari,68.906,27.0288,1.83,88,66,2.63,FI,1746854002
212,geraldton,-28.7667,114.6,28.23,51,1,6.69,AU,1746853805
213,kittila,67.6647,24.8936,5.08,52,0,1.03,FI,1746854004
214,ola,59.5833,151.2833,2.44,89,100,2.98,RU,1746854006
215,pizarro,4.9533,-77.366,26.15,88,53,2.13,CO,1746854008
216,weno,7.4515,151.8468,30.97,70,75,4.12,FM,1746854009
217,karapinar,37.716,33.5506,19.29,38,77,3.92,TR,1746854010
218,uturoa,-16.7333,-151.4333,27.73,72,95,1.46,PF,1746854011
219,chibougamau,49.9168,-74.3659,1.53,97,13,2.23,CA,1746854012
220,nizhnedevitsk,51.5419,38.3657,7.26,80,98,6.42,RU,1746854013
221,paraiso,9.8383,-83.8656,20.23,87,100,1.76,CR,1746854014
222,dunedin,-45.8742,170.5036,13.78,80,78,0.45,NZ,1746853850
223,heniches'k,46.1759,34.8034,8.96,67,100,4.6,UA,1746854017
224,ixtapa,20.7,-105.2,25.57,73,75,2.06,MX,1746854018
225,feicheng,35.2606,117.9675,18.53,43,78,4.69,CN,1746854019
226,fort st. john,56.2499,-120.8529,7.79,50,100,2.43,CA,1746854021
227,gulf shores,30.246,-87.7008,20.01,88,100,5.66,US,1746854022
228,nong khai,17.9167,103.0833,31.98,62,64,2.4,TH,1746854023
229,fort bragg,35.139,-79.006,19.26,48,0,2.57,US,1746854024
230,meulaboh,4.1363,96.1285,27.39,83,86,3.1,ID,1746854027
231,challapata,-18.9,-66.7667,8.87,39,0,3.41,BO,1746854028
232,mount isa,-20.7333,139.5,27.87,34,75,5.14,AU,1746854029
233,eger,47.9026,20.3733,9.37,58,5,1.24,HU,1746854030
234,puerto aysen,-45.4,-72.7,6.55,100,100,0.78,CL,1746854031
235,tarakan,3.3,117.6333,31.72,66,20,1.54,ID,1746854032
236,talara,-4.5772,-81.2719,21.55,76,34,6.59,PE,1746854033
237,anloga,5.7947,0.8973,27.74,81,44,6.19,GH,1746854034
238,cidreira,-30.1811,-50.2056,17.24,91,88,5.42,BR,1746854036
239,vadso,70.0744,29.7487,2.09,87,80,2.57,NO,1746854037
240,santiago del torno,-17.9833,-63.3833,21.54,96,100,2.3,BO,1746854038
241,sambava,-14.2667,50.1667,25.2,81,13,3.93,MG,1746854039
242,northam,51.0333,-4.2167,6.51,84,0,2.96,GB,1746854040
243,mersa matruh,31.3525,27.2453,27.22,29,85,5.61,EG,1746854041
244,kolonia town,6.964,158.206,31.06,76,75,4.63,FM,1746854042
245,hithadhoo,-0.6,73.0833,28.43,70,100,2.39,MV,1746854043
246,thanh hoa,19.8,105.7667,31.35,65,94,3.68,VN,1746854044
247,mana,5.6592,-53.7767,24.73,91,21,3.22,GF,1746854045
248,bergen,60.392,5.328,9.38,100,40,0.0,NO,1746854047
249,nantucket,41.2835,-70.0995,11.06,100,100,5.66,US,1746854048
250,imperatriz,-5.5264,-47.4917,24.38,95,18,1.53,BR,1746854049
251,sankt georgen im schwarzwald,48.1333,8.3333,1.22,91,0,1.02,DE,1746854050
252,ghat,24.9647,10.1728,26.72,29,31,0.65,LY,1746854051
253,brookings,44.3114,-96.7984,18.0,40,0,4.63,US,1746854052
